ExpTrialList.Sample,ExpTrialList,CueName
1,4,right hand
2,2,right hand
3,1,left hand
4,3,left hand
5,2,right hand
6,4,right hand
7,3,left hand
8,1,left hand
9,4,right hand
10,3,left hand
11,2,right hand
12,1,left hand
13,3,left hand
14,2,right hand
15,4,right hand
16,1,left hand
17,2,right hand
18,1,left hand
19,3,left hand
20,4,right hand
21,3,left hand
22,1,left hand
23,2,right hand
24,4,right hand
25,3,left hand
26,4,right hand
27,1,left hand
28,2,right hand
29,4,right hand
30,2,right hand
31,3,left hand
32,1,left hand
33,2,right hand
34,4,right hand
35,3,left hand
36,1,left hand
37,4,right hand
38,3,left hand
39,2,right hand
40,1,left hand
