ExpTrialList.Sample,ExpTrialList,CueName
1,3,left hand
2,4,right hand
3,2,right hand
4,1,left hand
5,4,right hand
6,1,left hand
7,2,right hand
8,3,left hand
9,2,right hand
10,4,right hand
11,3,left hand
12,1,left hand
13,3,left hand
14,2,right hand
15,1,left hand
16,4,right hand
17,2,right hand
18,1,left hand
19,3,left hand
20,4,right hand
21,2,right hand
22,4,right hand
23,3,left hand
24,1,left hand
25,4,right hand
26,3,left hand
27,2,right hand
28,1,left hand
29,2,right hand
30,1,left hand
31,3,left hand
32,4,right hand
33,3,left hand
34,4,right hand
35,2,right hand
36,1,left hand
37,3,left hand
38,4,right hand
39,2,right hand
40,1,left hand
