ExpTrialList.Sample,ExpTrialList,CueName
1,3,left hand
2,1,left hand
3,2,right hand
4,4,right hand
5,1,left hand
6,2,right hand
7,3,left hand
8,4,right hand
9,3,left hand
10,1,left hand
11,4,right hand
12,2,right hand
13,1,left hand
14,4,right hand
15,2,right hand
16,3,left hand
17,2,right hand
18,1,left hand
19,3,left hand
20,4,right hand
21,3,left hand
22,2,right hand
23,1,left hand
24,4,right hand
25,1,left hand
26,3,left hand
27,2,right hand
28,4,right hand
29,3,left hand
30,1,left hand
31,4,right hand
32,2,right hand
33,1,left hand
34,2,right hand
35,4,right hand
36,3,left hand
37,2,right hand
38,1,left hand
39,4,right hand
40,3,left hand
