ExpTrialList.Sample,ExpTrialList,CueName
1,4,right hand
2,3,left hand
3,2,right hand
4,1,left hand
5,3,left hand
6,1,left hand
7,4,right hand
8,2,right hand
9,3,left hand
10,4,right hand
11,2,right hand
12,1,left hand
13,4,right hand
14,2,right hand
15,3,left hand
16,1,left hand
17,4,right hand
18,1,left hand
19,2,right hand
20,3,left hand
21,2,right hand
22,4,right hand
23,3,left hand
24,1,left hand
25,2,right hand
26,1,left hand
27,3,left hand
28,4,right hand
29,1,left hand
30,2,right hand
31,3,left hand
32,4,right hand
33,1,left hand
34,3,left hand
35,2,right hand
36,4,right hand
37,1,left hand
38,2,right hand
39,3,left hand
40,4,right hand
