ExpTrialList.Sample,ExpTrialList,CueName
1,1,left hand
2,3,left hand
3,4,right hand
4,2,right hand
5,4,right hand
6,3,left hand
7,2,right hand
8,1,left hand
9,4,right hand
10,1,left hand
11,2,right hand
12,3,left hand
13,2,right hand
14,1,left hand
15,4,right hand
16,3,left hand
17,1,left hand
18,2,right hand
19,4,right hand
20,3,left hand
21,2,right hand
22,3,left hand
23,4,right hand
24,1,left hand
25,2,right hand
26,1,left hand
27,3,left hand
28,4,right hand
29,3,left hand
30,4,right hand
31,2,right hand
32,1,left hand
33,2,right hand
34,4,right hand
35,3,left hand
36,1,left hand
37,2,right hand
38,4,right hand
39,3,left hand
40,1,left hand
