ExpTrialList.Sample,ExpTrialList,CueName
1,2,right hand
2,3,left hand
3,4,right hand
4,1,left hand
5,3,left hand
6,2,right hand
7,1,left hand
8,4,right hand
9,3,left hand
10,1,left hand
11,2,right hand
12,4,right hand
13,3,left hand
14,1,left hand
15,4,right hand
16,2,right hand
17,3,left hand
18,1,left hand
19,4,right hand
20,2,right hand
21,4,right hand
22,2,right hand
23,1,left hand
24,3,left hand
25,2,right hand
26,4,right hand
27,1,left hand
28,3,left hand
29,4,right hand
30,1,left hand
31,2,right hand
32,3,left hand
33,1,left hand
34,3,left hand
35,4,right hand
36,2,right hand
37,1,left hand
38,4,right hand
39,3,left hand
40,2,right hand
