ExpTrialList.Sample,ExpTrialList,CueName
1,4,right hand
2,1,left hand
3,3,left hand
4,2,right hand
5,1,left hand
6,2,right hand
7,4,right hand
8,3,left hand
9,1,left hand
10,4,right hand
11,3,left hand
12,2,right hand
13,4,right hand
14,1,left hand
15,2,right hand
16,3,left hand
17,4,right hand
18,2,right hand
19,3,left hand
20,1,left hand
21,2,right hand
22,3,left hand
23,4,right hand
24,1,left hand
25,3,left hand
26,2,right hand
27,4,right hand
28,1,left hand
29,4,right hand
30,2,right hand
31,1,left hand
32,3,left hand
33,2,right hand
34,3,left hand
35,4,right hand
36,1,left hand
37,3,left hand
38,2,right hand
39,4,right hand
40,1,left hand
